model,variant,hemisphere,season,b
BCC-CSM2-MR,div1_QG_gt3,n,MJJ,0.03285402575503758
BCC-CSM2-MR,div1_QG_gt3,n,JJA,0.05000348646441673
BCC-CSM2-MR,div1_QG_gt3,n,JAS,0.0945104724478784
BCC-CSM2-MR,div1_QG_gt3,n,ASO,0.1314135857768015
BCC-CSM2-MR,div1_QG_gt3,n,SON,0.1383726476840473
BCC-CSM2-MR,div1_QG_gt3,n,OND,0.12139263429181034
BCC-CSM2-MR,div1_QG_gt3,n,NDJ,0.1185466313182979
BCC-CSM2-MR,div1_QG_gt3,s,DJF,0.11886574429238148
BCC-CSM2-MR,div1_QG_gt3,s,JFM,0.11688862228852179
BCC-CSM2-MR,div1_QG_gt3,s,FMA,0.11196495448548001
BCC-CSM2-MR,div1_QG_gt3,s,MAM,0.09834347182064108
BCC-CSM2-MR,div1_QG_gt3,s,AMJ,0.0801955988761259
BCC-CSM2-MR,div1_QG_gt3,s,MJJ,0.12826970737102147
BCC-CSM2-MR,div1_QG_gt3,s,JJA,0.17261076193876584
BCC-CSM2-MR,div1_QG_gt3,s,JAS,0.1734135157395792
BCC-CSM2-MR,div1_QG_gt3,s,ASO,0.14633383194339564
BCC-CSM2-MR,div1_QG_gt3,s,SON,0.11649466906409472
BCC-CSM2-MR,div1_QG_gt3,s,OND,0.1241362560692465
BCC-CSM2-MR,div1_QG_gt3,s,NDJ,0.12278062479248925
CMCC-CM2-HR4,div1_QG,n,DJF,0.1326935590459959
CMCC-CM2-HR4,div1_QG,n,JFM,0.1304219397092707
CMCC-CM2-HR4,div1_QG,n,FMA,0.1479480680124308
CMCC-CM2-HR4,div1_QG,n,MAM,0.11165685629321871
CMCC-CM2-HR4,div1_QG,n,AMJ,0.0891601165899368
CMCC-CM2-HR4,div1_QG,n,MJJ,0.0005662881715317338
CMCC-CM2-HR4,div1_QG,n,JJA,0.027257666932318278
CMCC-CM2-HR4,div1_QG,n,JAS,0.05474038648376964
CMCC-CM2-HR4,div1_QG,n,ASO,0.131849009516374
CMCC-CM2-HR4,div1_QG,n,SON,0.14316870608803173
CMCC-CM2-HR4,div1_QG,n,OND,0.07607524126313754
CMCC-CM2-HR4,div1_QG,n,NDJ,0.13140018675641735
CMCC-CM2-HR4,div1_QG,s,DJF,0.040079084019466214
CMCC-CM2-HR4,div1_QG,s,JFM,0.02024845036142444
CMCC-CM2-HR4,div1_QG,s,FMA,-0.02403225031923505
CMCC-CM2-HR4,div1_QG,s,MAM,-0.0947336731632202
CMCC-CM2-HR4,div1_QG,s,AMJ,-0.03749057621725758
CMCC-CM2-HR4,div1_QG,s,MJJ,0.015162718426099158
CMCC-CM2-HR4,div1_QG,s,JJA,0.027848806961485985
CMCC-CM2-HR4,div1_QG,s,JAS,0.0844622543018527
CMCC-CM2-HR4,div1_QG,s,ASO,0.07723457587658929
CMCC-CM2-HR4,div1_QG,s,SON,0.05201590687778407
CMCC-CM2-HR4,div1_QG,s,OND,0.04221844847343346
CMCC-CM2-HR4,div1_QG,s,NDJ,0.04131580893672982
CMCC-CM2-HR4,div1_QG_123,n,DJF,0.041084505442721145
CMCC-CM2-HR4,div1_QG_123,n,JFM,0.04697819633684835
CMCC-CM2-HR4,div1_QG_123,n,FMA,0.045840837348107934
CMCC-CM2-HR4,div1_QG_123,n,MAM,-0.0033260964044506225
CMCC-CM2-HR4,div1_QG_123,n,AMJ,-0.009645860615640385
CMCC-CM2-HR4,div1_QG_123,n,MJJ,-0.07985293911328604
CMCC-CM2-HR4,div1_QG_123,n,JJA,-0.05553513466341384
CMCC-CM2-HR4,div1_QG_123,n,JAS,0.001470950373151851
CMCC-CM2-HR4,div1_QG_123,n,ASO,0.028094548446841873
CMCC-CM2-HR4,div1_QG_123,n,SON,0.00812817638549101
CMCC-CM2-HR4,div1_QG_123,n,OND,-0.012310978646546712
CMCC-CM2-HR4,div1_QG_123,n,NDJ,0.008179293605771265
CMCC-CM2-HR4,div1_QG_123,s,DJF,-0.037912221072959676
CMCC-CM2-HR4,div1_QG_123,s,JFM,-0.06531170954492439
CMCC-CM2-HR4,div1_QG_123,s,FMA,-0.07436651686173185
CMCC-CM2-HR4,div1_QG_123,s,MAM,-0.11599567155086042
CMCC-CM2-HR4,div1_QG_123,s,AMJ,-0.12943865249918016
CMCC-CM2-HR4,div1_QG_123,s,MJJ,-0.12203758213966497
CMCC-CM2-HR4,div1_QG_123,s,JJA,-0.11132405460118877
CMCC-CM2-HR4,div1_QG_123,s,JAS,-0.04103752837001255
CMCC-CM2-HR4,div1_QG_123,s,ASO,-0.02343696850888773
CMCC-CM2-HR4,div1_QG_123,s,SON,-0.015233466451627488
CMCC-CM2-HR4,div1_QG_123,s,OND,-0.016221938724695104
CMCC-CM2-HR4,div1_QG_123,s,NDJ,-0.02729263249615566
CMCC-CM2-HR4,div1_QG_gt3,n,DJF,0.09160905360327473
CMCC-CM2-HR4,div1_QG_gt3,n,JFM,0.08344374337242237
CMCC-CM2-HR4,div1_QG_gt3,n,FMA,0.10210723066432287
CMCC-CM2-HR4,div1_QG_gt3,n,MAM,0.1149829526976693
CMCC-CM2-HR4,div1_QG_gt3,n,AMJ,0.09880597720557717
CMCC-CM2-HR4,div1_QG_gt3,n,MJJ,0.0804192272848178
CMCC-CM2-HR4,div1_QG_gt3,n,JJA,0.08279280159573207
